appId,url,adSupported,containsAds,released,title,score,reviews,price,free,genre,ratings,installs,size,contentRating,contentRatingDescription
com.sinyee.babybus.shopping,https://play.google.com/store/apps/details?id=com.sinyee.babybus.shopping&hl=en&gl=us,True,True,"Feb 19, 2016",Baby Panda's Supermarket,4.221327,95642.0,0.0,True,Educational,215002.0,"50,000,000+",72M,Everyone,
com.jumia.android,https://play.google.com/store/apps/details?id=com.jumia.android&hl=en&gl=us,,,"Aug 27, 2013",JUMIA Online Shopping,4.3693886,260391.0,0.0,True,Shopping,594831.0,"10,000,000+",11M,Teen,
com.zombodroid.MemeGeneratorFullGplay,https://play.google.com/store/apps/details?id=com.zombodroid.MemeGeneratorFullGplay&hl=en&gl=us,,,"Mar 4, 2013",Meme Generator PRO,4.8398576,2424.0,2.99,False,Entertainment,5659.0,"100,000+",71M,Mature 17+,Strong Language
com.zombodroid.memefbmessenger,https://play.google.com/store/apps/details?id=com.zombodroid.memefbmessenger&hl=en&gl=us,True,True,"Mar 25, 2015",Meme Soundboard by ZomboDroid,4.4575105,8631.0,0.0,True,Entertainment,43689.0,"5,000,000+",32M,Mature 17+,Strong Language
com.adsk.sketchbook,https://play.google.com/store/apps/details?id=com.adsk.sketchbook&hl=en&gl=us,,,"Oct 8, 2014",SketchBook - draw and paint,4.16322,131594.0,0.0,True,Entertainment,349238.0,"10,000,000+",Varies with device,Everyone,
com.lyrebirdstudio.tbt,https://play.google.com/store/apps/details?id=com.lyrebirdstudio.tbt&hl=en&gl=us,True,True,"Dec 24, 2015","PicsApp Photo Editor: Collage Maker, Neon Effects",4.4340143,56654.0,0.0,True,Photography,117140.0,"10,000,000+",Varies with device,Everyone,
com.jb.emoji.gokeyboard,https://play.google.com/store/apps/details?id=com.jb.emoji.gokeyboard&hl=en&gl=us,True,True,"Jan 13, 2015","GO Keyboard - Cute Emojis, Themes and GIFs",4.5474854,1269248.0,0.0,True,Tools,4753927.0,"100,000,000+",36M,Everyone,
com.glow.android.baby,https://play.google.com/store/apps/details?id=com.glow.android.baby&hl=en&gl=us,True,True,"Feb 24, 2016","GLOW. Baby Tracker & Feeding, Diaper, Sleep Log",4.571429,3627.0,0.0,True,Parenting,9264.0,"100,000+",12M,Everyone,
com.viber.voip,https://play.google.com/store/apps/details?id=com.viber.voip&hl=en&gl=us,True,True,"Jul 19, 2011","Viber Messenger - Messages, Group Chats & Calls",4.335577,3340670.0,0.0,True,Communication,13784080.0,"500,000,000+",Varies with device,Everyone,
com.epocrates,https://play.google.com/store/apps/details?id=com.epocrates&hl=en&gl=us,,,"Feb 22, 2010",epocrates,4.258031,5801.0,0.0,True,Medical,24804.0,"1,000,000+",Varies with device,Everyone,
com.skype.m2,https://play.google.com/store/apps/details?id=com.skype.m2&hl=en&gl=us,,,,Skype Lite - Free Video Call & Chat,,,0.0,True,Communication,,"10,000,000+",Varies with device,Everyone,
money.expense.budget.wallet.manager.track.finance.tracker,https://play.google.com/store/apps/details?id=money.expense.budget.wallet.manager.track.finance.tracker&hl=en&gl=us,,,"May 20, 2018","Money Manager: Expense Tracker, Free Budgeting App",4.332059,56333.0,0.0,True,Finance,151789.0,"1,000,000+",4.9M,Everyone,
com.macropinch.swan,https://play.google.com/store/apps/details?id=com.macropinch.swan&hl=en&gl=us,True,True,"Jun 21, 2012",Weather,4.405765,322862.0,0.0,True,Weather,1287808.0,"10,000,000+",Varies with device,Everyone,
com.activision.callofduty.shooter,https://play.google.com/store/apps/details?id=com.activision.callofduty.shooter&hl=en&gl=us,True,True,"Sep 30, 2019",Call of Duty®: Mobile,4.4313917,4147433.0,0.0,True,Action,8760153.0,"100,000,000+",81M,Mature 17+,"Blood, Violence"
com.visiblebody.atlas,https://play.google.com/store/apps/details?id=com.visiblebody.atlas&hl=en&gl=us,,,"Sep 30, 2016",Human Anatomy Atlas 2021: Complete 3D Human Body,4.6319876,3038.0,24.99,False,Medical,6481.0,"100,000+",35M,Everyone,
com.spotify.lite,https://play.google.com/store/apps/details?id=com.spotify.lite&hl=en&gl=us,True,True,,Spotify Lite,4.400115,55445.0,0.0,True,Music & Audio,122778.0,"5,000,000+",9.8M,Teen,Diverse Content: Discretion Advised
com.creative.colorfit.mandala.coloring.book,https://play.google.com/store/apps/details?id=com.creative.colorfit.mandala.coloring.book&hl=en&gl=us,True,True,"May 12, 2017",Colorfit - Drawing & Coloring,4.182867,14213.0,0.0,True,Art & Design,34840.0,"1,000,000+",25M,Everyone 10+,Use of Alcohol
com.kongregate.mobile.thetrail.google,https://play.google.com/store/apps/details?id=com.kongregate.mobile.thetrail.google&hl=en&gl=us,True,True,"Nov 1, 2016",The Trail,4.1388392,117843.0,0.0,True,Simulation,301797.0,"5,000,000+",Varies with device,Everyone,Mild Fantasy Violence
com.seatgeek.android,https://play.google.com/store/apps/details?id=com.seatgeek.android&hl=en&gl=us,,,"Nov 13, 2013","SeatGeek – Tickets to Sports, Concerts, Broadway",4.4777565,6439.0,0.0,True,Events,20841.0,"1,000,000+",41M,Everyone,
com.audible.application,https://play.google.com/store/apps/details?id=com.audible.application&hl=en&gl=us,,,"Aug 12, 2010",Audible Audiobooks: Stories & Audio Entertainment,4.534657,278589.0,0.0,True,Books & Reference,965931.0,"100,000,000+",21M,Teen,
com.socialz.stickerapp,https://play.google.com/store/apps/details?id=com.socialz.stickerapp&hl=en&gl=us,True,True,"Nov 12, 2018",New Stickers - WAStickerApps,4.684349,10616.0,0.0,True,Personalization,23194.0,"1,000,000+",Varies with device,Teen,Language
com.inditex.zara,https://play.google.com/store/apps/details?id=com.inditex.zara&hl=en&gl=us,,,"Oct 11, 2012",Zara,4.0776496,32388.0,0.0,True,Lifestyle,144540.0,"10,000,000+",30M,Everyone,
com.netflix.mediaclient,https://play.google.com/store/apps/details?id=com.netflix.mediaclient&hl=en&gl=us,,,"May 5, 2011",Netflix,4.484371,2849225.0,0.0,True,Entertainment,8891909.0,"500,000,000+",12M,Teen,
com.medscape.android,https://play.google.com/store/apps/details?id=com.medscape.android&hl=en&gl=us,True,True,"Jan 6, 2011",Medscape,4.6147065,14084.0,0.0,True,Medical,56978.0,"5,000,000+",82M,Everyone,
com.dream_studio.animalringtones,https://play.google.com/store/apps/details?id=com.dream_studio.animalringtones&hl=en&gl=us,True,True,"Jul 24, 2015",Animals: Ringtones,4.6056705,53206.0,0.0,True,Personalization,116092.0,"10,000,000+",18M,Everyone,
com.dts.freefireth,https://play.google.com/store/apps/details?id=com.dts.freefireth&hl=en&gl=us,,,"Dec 7, 2017",Garena Free Fire: Wonderland,3.792936,29891707.0,0.0,True,Action,49359575.0,"500,000,000+",41M,Mature 17+,"Violence, Blood"
mobi.mangatoon.comics.aphone,https://play.google.com/store/apps/details?id=mobi.mangatoon.comics.aphone&hl=en&gl=us,True,True,"Jul 8, 2018","MangaToon-Good comics, Great stories",4.4552565,143415.0,0.0,True,Comics,348840.0,"10,000,000+",Varies with device,Teen,Diverse Content: Discretion Advised
com.expertoption,https://play.google.com/store/apps/details?id=com.expertoption&hl=en&gl=us,,,,ExpertOption - Mobile Trading,4.0409193,41736.0,0.0,True,Finance,97979.0,"10,000,000+",12M,Everyone,
br.com.ctncardoso.ctncar,https://play.google.com/store/apps/details?id=br.com.ctncardoso.ctncar&hl=en&gl=us,True,True,"Jun 24, 2012","Drivvo – Car management, Fuel log, Find Cheap Gas",4.603195,29667.0,0.0,True,Auto & Vehicles,78474.0,"1,000,000+",12M,Everyone,
com.sm.SlingGuide.Dish,https://play.google.com/store/apps/details?id=com.sm.SlingGuide.Dish&hl=en&gl=us,True,True,"Nov 18, 2010",DISH Anywhere,3.7538462,31603.0,0.0,True,Entertainment,103053.0,"10,000,000+",Varies with device,Teen,
com.android.chrome,https://play.google.com/store/apps/details?id=com.android.chrome&hl=en&gl=us,,,"Feb 7, 2012",Google Chrome: Fast & Secure,4.3269725,6351894.0,0.0,True,Communication,21296633.0,"5,000,000,000+",Varies with device,Everyone,
com.duolingo,https://play.google.com/store/apps/details?id=com.duolingo&hl=en&gl=us,True,True,"May 29, 2013",Duolingo: Learn Languages Free,4.710938,3842726.0,0.0,True,Education,9290217.0,"100,000,000+",Varies with device,Everyone,
ru.subprogram.guitarsongs.vint,https://play.google.com/store/apps/details?id=ru.subprogram.guitarsongs.vint&hl=en&gl=us,True,True,"Apr 26, 2013",Guitar Songs,4.609818,21346.0,0.0,True,Music & Audio,67524.0,"5,000,000+",29M,Mature 17+,"Drug Reference, Strong Language"
hd.camera,https://play.google.com/store/apps/details?id=hd.camera&hl=en&gl=us,True,True,"Apr 10, 2018",HD Camera,4.2020717,22682.0,0.0,True,Photography,54249.0,"10,000,000+",Varies with device,Everyone,
com.cardinalblue.piccollage.google,https://play.google.com/store/apps/details?id=com.cardinalblue.piccollage.google&hl=en&gl=us,True,True,"Jun 7, 2012",PicCollage - Easy Photo Template & Grid Editor,4.6383424,440902.0,0.0,True,Photography,1529473.0,"50,000,000+",Varies with device,Everyone,
com.bravolang.english,https://play.google.com/store/apps/details?id=com.bravolang.english&hl=en&gl=us,True,True,"Nov 16, 2012",Learn English Phrases | English Translator,4.610621,28224.0,0.0,True,Education,102968.0,"5,000,000+",23M,Everyone,
com.magicvideo.beauty.videoeditor,https://play.google.com/store/apps/details?id=com.magicvideo.beauty.videoeditor&hl=en&gl=us,True,True,"Jul 27, 2018",Magic Video Effect - Music Video Maker Music Story,4.453125,5492.0,0.0,True,Video Players & Editors,10447.0,"1,000,000+",25M,Everyone,
com.google.android.youtube,https://play.google.com/store/apps/details?id=com.google.android.youtube&hl=en&gl=us,True,True,"Oct 20, 2010",YouTube,4.140073,25201281.0,0.0,True,Video Players & Editors,71928490.0,"5,000,000,000+",Varies with device,Teen,
com.pockettrend.neomonsters,https://play.google.com/store/apps/details?id=com.pockettrend.neomonsters&hl=en&gl=us,,,"Apr 11, 2016",Neo Monsters,4.327153,32701.0,0.0,True,Role Playing,84227.0,"1,000,000+",94M,Everyone,Mild Fantasy Violence
sixpack.sixpackabs.absworkout,https://play.google.com/store/apps/details?id=sixpack.sixpackabs.absworkout&hl=en&gl=us,True,True,"Jan 9, 2018",Six Pack in 30 Days - Abs Workout,4.858382,346407.0,0.0,True,Health & Fitness,799043.0,"50,000,000+",13M,Teen,Sexual Themes
